,DDEC,EQeq,Qeq
593,-0.658574,-0.45100,-0.272985
594,-0.676073,-0.44500,-0.272985
595,-0.741812,-0.42900,-0.272985
596,-0.568497,-0.36700,-0.272985
597,-0.62787,-0.37500,-0.272985
598,-0.681101,-0.42600,-0.272985
599,-0.658575,-0.45600,-0.272985
600,-0.676073,-0.44600,-0.272985
601,-0.741811,-0.43000,-0.272985
602,-0.568497,-0.36700,-0.272985
603,-0.62787,-0.37600,-0.272985
604,-0.681102,-0.43000,-0.272985
605,-0.658574,-0.45500,-0.272985
606,-0.676073,-0.44300,-0.272985
607,-0.741812,-0.42800,-0.272985
608,-0.568497,-0.36600,-0.272985
609,-0.62787,-0.37600,-0.272985
610,-0.668566,-0.63000,-0.272985
611,-0.546476,-0.57400,-0.272985
612,-0.585557,-0.53600,-0.272985
613,-0.668984,-0.63000,-0.272985
614,-0.546474,-0.57400,-0.272985
615,-0.584516,-0.53600,-0.272985
616,-0.668494,-0.62900,-0.272985
617,-0.546326,-0.57400,-0.272985
618,-0.585421,-0.53600,-0.272985
619,-0.668566,-0.63000,-0.272985
620,-0.546476,-0.57400,-0.272985
621,-0.585557,-0.53600,-0.272985
622,-0.668984,-0.63000,-0.272985
623,-0.546474,-0.57400,-0.272985
624,-0.584516,-0.53600,-0.272985
625,-0.668494,-0.62900,-0.272985
626,-0.65736,-0.62100,-0.39454
627,-0.51931,-0.59600,-0.39454
628,-0.620956,-0.53100,-0.39454
629,-0.65869,-0.62100,-0.39454
630,-0.519859,-0.59600,-0.39454
631,-0.621733,-0.53000,-0.39454
632,-0.657942,-0.62100,-0.39454
633,-0.518922,-0.59600,-0.39454
634,-0.620851,-0.53000,-0.39454
635,-0.65736,-0.62100,-0.39454
636,-0.51931,-0.59600,-0.39454
637,-0.620957,-0.53100,-0.39454
638,-0.65869,-0.62100,-0.39454
639,-0.519859,-0.59600,-0.39454
640,-0.621734,-0.53000,-0.39454
641,-0.657942,-0.62100,-0.39454
642,-0.557958,-0.57800,-0.39454
643,-0.580081,-0.37100,-0.39454
644,-0.579446,-0.55000,-0.39454
645,-0.55787,-0.57800,-0.39454
646,-0.580311,-0.37100,-0.39454
647,-0.580378,-0.55000,-0.39454
648,-0.557125,-0.57700,-0.39454
649,-0.580636,-0.37100,-0.39454
650,-0.579393,-0.55000,-0.457979
651,-0.557958,-0.57800,-0.457979
652,-0.580081,-0.37100,-0.457979
653,-0.579447,-0.55000,-0.457979
654,-0.55787,-0.57800,-0.457979
655,-0.580311,-0.37100,-0.457979
656,-0.58038,-0.55000,-0.457979
657,-0.557125,-0.57700,-0.457979
658,-0.568701,-0.56900,-0.457979
659,-0.570138,-0.36600,-0.457979
660,-0.584053,-0.54200,-0.457979
661,-0.569136,-0.56800,-0.457979
662,-0.570357,-0.36600,-0.457979
663,-0.583907,-0.54200,-0.457979
664,-0.568165,-0.56900,-0.457979
665,-0.569891,-0.36600,-0.457979
666,-0.58413,-0.54200,-0.457979
667,-0.568701,-0.56900,-0.457979
668,-0.570139,-0.36600,-0.467821
669,-0.584055,-0.54200,-0.467821
670,-0.569136,-0.56800,-0.467821
671,-0.570358,-0.36600,-0.467821
